K_SGH,"V_SGHNAVN","K_FRADTO","D_TILDTO","C_SGHTYPE","C_INSTART","C_REGION","C_SORID","Region","Institution"
1301,"Rigshospitalet",1976-04-01,2500-01-01,1,101,1084,6111000016004,"Hovedstaden","Øvrige"
1303,"KØBENHAVN, KOMMUNEHOSPITALET",1976-04-01,1977-12-31,1,101,1084,6111000016004,"Hovedstaden","Øvrige"
1303,"Kommunehospitalet, København",1978-01-01,2003-12-31,1,111,1084,6111000016004,"Hovedstaden","Øvrige"
1304,"KØBENHAVN, ØRESUNDSHOSPITALET",1976-04-01,1982-12-31,1,106,1084,6111000016004,"Hovedstaden","Øvrige"
1304,"KØBENHAVN, ØRESUNDSHOSPITALET",1983-01-01,1983-12-31,1,121,1084,6111000016004,"Hovedstaden","Øvrige"
1304,"KØBENHAVN, ØRESUNDSHOSPITALET",1984-01-01,1987-12-30,1,122,1084,6111000016004,"Hovedstaden","Øvrige"
1306,"KØBENHAVN, RUDOLPH BERGHS HOSP",1976-04-01,1977-12-31,1,119,1084,6111000016004,"Hovedstaden","Øvrige"
1306,"KØBENHAVN, RUDOLPH BERGHS HOSP",1978-01-01,1982-12-31,1,106,1084,6111000016004,"Hovedstaden","Øvrige"
1307,"KØBENHAVN, SUNDBY HOSPITAL",1976-04-01,1977-12-31,1,102,1084,6111000016004,"Hovedstaden","Øvrige"
1307,"Sundby Hospital",1978-01-01,2003-12-31,1,103,1084,6111000016004,"Hovedstaden","Øvrige"
1308,"Den Præhospitale Virksomhed",2014-01-01,2500-01-01,1,141,1084,6111000016004,"Hovedstaden","Øvrige"
1309,"Bispebjerg Hospital",1976-04-01,2013-11-30,1,102,1084,6111000016004,"Hovedstaden","Øvrige"
1309,"Bispebjerg og Frederiksberg Hospitaler",2013-12-01,2500-01-01,1,102,1084,6111000016004,"Hovedstaden","Øvrige"
1310,"KØBENHAVN, SØNDERBRO HOSPITAL",1976-04-01,1977-12-31,1,103,1084,6111000016004,"Hovedstaden","Øvrige"
1310,"KØBENHAVN, SØNDERBRO HOSPITAL",1978-01-01,1983-12-31,1,111,1084,6111000016004,"Hovedstaden","Øvrige"
1311,"KØBENHAVN, BØRNEHOSPITALET PÅ",1976-04-01,1977-12-31,1,119,1084,6111000016004,"Hovedstaden","Øvrige"
1311,"KØBENHAVN, BØRNEHOSPITALET PÅ",1978-01-01,1983-12-31,1,111,1084,6111000016004,"Hovedstaden","Øvrige"
1314,"Sct. Hans Hospital",1976-04-01,2008-07-31,1,121,1084,6111000016004,"Hovedstaden","Øvrige"
1315,"KØBENHAVN, PSYK. PLEJEHOSP. BR",1976-04-01,1977-12-31,1,123,1084,6111000016004,"Hovedstaden","Øvrige"
1315,"KØBENHAVN, PSYK. PLEJEHOSP. BR",1978-01-01,1987-12-30,1,121,1084,6111000016004,"Hovedstaden","Øvrige"
1315,"KØBENHAVN, BRØNDBYLUND",1987-12-31,1991-12-31,1,450,1084,6111000016004,"Hovedstaden","Øvrige"
1316,"KØBENHAVN, PSYK. PLEJEHOSP. RI",1976-04-01,1977-12-31,1,123,1084,6111000016004,"Hovedstaden","Øvrige"
1316,"KØBENHAVN, PSYK. PLEJEHOSP. RI",1978-01-01,1987-12-30,1,121,1084,6111000016004,"Hovedstaden","Øvrige"
1316,"KØBENHAVN, RINGBO",1987-12-31,1991-12-31,1,450,1084,6111000016004,"Hovedstaden","Øvrige"
1317,"KØBENHAVN, PSYK. PLEJEHOSP. SU",1976-04-01,1977-12-31,1,123,1084,6111000016004,"Hovedstaden","Øvrige"
1317,"KØBENHAVN, PSYK. PLEJEHOSP. SU",1978-01-01,1987-12-30,1,121,1084,6111000016004,"Hovedstaden","Øvrige"
1317,"KØBENHAVN, SUNDBYGÅRD",1987-12-31,1991-12-31,1,450,1084,6111000016004,"Hovedstaden","Øvrige"
1318,"KØBENHAVN, PSYK. PLEJEHOSP. HE",1976-04-01,1977-12-31,1,123,1084,6111000016004,"Hovedstaden","Øvrige"
1318,"KØBENHAVN, PSYK. PLEJEHOSP. HE",1978-01-01,1987-12-30,1,121,1084,6111000016004,"Hovedstaden","Øvrige"
1318,"KØBENHAVN, HEDELUND",1987-12-31,1991-12-31,1,450,1084,6111000016004,"Hovedstaden","Øvrige"
1324,"KØBENHAVN, DE GAMLES BY",1976-04-01,1982-12-31,1,450,1084,6111000016004,"Hovedstaden","Øvrige"
1326,"KØBENHAVN, SUNDHOLMS SYGEAFDEL",1976-04-01,1982-12-31,1,139,1084,6111000016004,"Hovedstaden","Øvrige"
1327,"KØBENHAVN, SCT. JOSEPHS HOSPIT",1976-04-01,1978-12-31,2,102,1084,6111000016004,"Hovedstaden","Privat"
1327,"KØBENHAVN, SCT. JOSEPHS HOSPIT",1979-01-01,1979-12-31,1,119,1084,6111000016004,"Hovedstaden","Øvrige"
1327,"KØBENHAVN, SCT. JOSEPHS HOSPIT",1980-01-01,1982-12-31,1,119,1084,6111000016004,"Hovedstaden","Øvrige"
1329,"KØBENHAVN, VESTRE HOSPITAL",1976-04-01,1994-08-12,1,139,1084,6111000016004,"Hovedstaden","Øvrige"
1330,"Hvidovre Hospital",1976-04-01,2015-12-04,1,101,1084,6111000016004,"Hovedstaden","Øvrige"
1330,"Amager og Hvidovre Hospital",2015-12-05,2500-01-01,1,101,1084,6111000016004,"Hovedstaden","Øvrige"
